eBird_Clements_v2022,eBird_Clements_v2021,BirdLife_v3,BirdLife_v7,IOC_v13.1
Lepidocolaptes duidae,Lepidocolaptes duidae,Lepidocolaptes albolineatus,Lepidocolaptes duidae,Lepidocolaptes duidae
Lepidocolaptes fatimalimae,Lepidocolaptes fatimalimae,Lepidocolaptes albolineatus,Lepidocolaptes fatimalimae,Lepidocolaptes fatimalimae
Lepidocolaptes fuscicapillus,Lepidocolaptes fuscicapillus,Lepidocolaptes albolineatus,Lepidocolaptes fuscicapillus,Lepidocolaptes fuscicapillus
Clibanornis rufipectus,Clibanornis rufipectus,Automolus rubiginosus,Clibanornis rufipectus,Clibanornis rufipectus
Automolus exsertus,Automolus exsertus,Automolus ochrolaemus,NA,Automolus exsertus
Automolus paraensis,Automolus paraensis,Automolus infuscatus,Automolus paraensis,Automolus paraensis
Automolus lammi,Automolus lammi,Automolus leucophthalmus,Automolus lammi,Automolus lammi
Asthenes helleri,Asthenes helleri,Schizoeaca palpebralis,Asthenes helleri,Asthenes helleri
Asthenes vilcabambae,Asthenes vilcabambae,Schizoeaca fuliginosa,Asthenes vilcabambae,Asthenes vilcabambae
Asthenes palpebralis,Asthenes palpebralis,Schizoeaca palpebralis,Asthenes palpebralis,Asthenes palpebralis
Asthenes fuliginosa,Asthenes fuliginosa,Schizoeaca perijana,Asthenes fuliginosa,Asthenes fuliginosa
Thripophaga amacurensis,Thripophaga amacurensis,NA,Thripophaga amacurensis,Thripophaga amacurensis
Synallaxis chinchipensis,Synallaxis chinchipensis,Synallaxis stictothorax,Synallaxis chinchipensis,Synallaxis chinchipensis
Synallaxis beverlyae,Synallaxis beverlyae,NA,Synallaxis beverlyae,Synallaxis beverlyae
Machaeropterus striolatus,Machaeropterus striolatus,Machaeropterus regulus,Machaeropterus striolatus,Machaeropterus striolatus
Machaeropterus eckelberryi,Machaeropterus eckelberryi,NA,Machaeropterus eckelberryi,Machaeropterus eckelberryi
Schiffornis olivacea,Schiffornis olivacea,Schiffornis turdina,Schiffornis olivacea,Schiffornis olivacea
Schiffornis veraepacis,Schiffornis veraepacis,Schiffornis turdina,Schiffornis veraepacis,Schiffornis veraepacis
Schiffornis aenea,Schiffornis aenea,Schiffornis turdina,Schiffornis aenea,Schiffornis aenea
Schiffornis stenorhyncha,Schiffornis stenorhyncha,Schiffornis turdina,Schiffornis stenorhyncha,Schiffornis stenorhyncha
Mionectes roraimae,Mionectes roraimae,Mionectes macconnelli,Mionectes roraimae,Mionectes roraimae
Hemitriccus cohnhafti,Hemitriccus cohnhafti,NA,Hemitriccus cohnhafti,Hemitriccus cohnhafti
Pseudocolopteryx citreola,Pseudocolopteryx citreola,NA,Pseudocolopteryx citreola,Pseudocolopteryx citreola
Elaenia sordida,Elaenia sordida,Elaenia obscura,Elaenia sordida,Elaenia sordida
Elaenia brachyptera,Elaenia brachyptera,Elaenia chiriquensis,Elaenia brachyptera,Elaenia brachyptera
Elaenia olivina,Elaenia olivina,Elaenia pallatangae,Elaenia olivina,Elaenia olivina
Serpophaga griseicapilla,Serpophaga griseicapilla,NA,Serpophaga griseicapilla,Serpophaga griseicapilla
Zimmerius chicomendesi,Zimmerius chicomendesi,NA,Zimmerius chicomendesi,Zimmerius chicomendesi
Zimmerius parvus,Zimmerius parvus,Zimmerius vilissimus,Zimmerius parvus,Zimmerius parvus
Zimmerius petersi,Zimmerius petersi,Zimmerius vilissimus,Zimmerius petersi,Zimmerius petersi
Euscarthmus fulviceps,Euscarthmus fulviceps,Euscarthmus meloryphus,Euscarthmus fulviceps,Euscarthmus fulviceps
Guyramemua affine,Guyramemua affine,Suiriri suiriri,Guyramemua affinis,Guyramemua affine
Pyrocephalus nanus,Pyrocephalus nanus,Pyrocephalus rubinus,Pyrocephalus nanus,Pyrocephalus nanus
Knipolegus cabanisi,Knipolegus cabanisi,Knipolegus signatus,Knipolegus cabanisi,Knipolegus cabanisi
Neoxolmis rubetra,Neoxolmis rubetra,Xolmis rubetra,Xolmis rubetra,Neoxolmis rubetra
Sirystes albocinereus,Sirystes albocinereus,Sirystes sibilator,Sirystes albocinereus,Sirystes albocinereus
Sirystes subcanescens,Sirystes subcanescens,Sirystes sibilator,Sirystes subcanescens,Sirystes subcanescens
Ailuroedus stonii,Ailuroedus stonii,Ailuroedus buccoides,NA,Ailuroedus stonii
Ailuroedus geislerorum,Ailuroedus geislerorum,Ailuroedus buccoides,NA,Ailuroedus geislerorum
Ailuroedus maculosus,Ailuroedus maculosus,Ailuroedus melanotis,NA,Ailuroedus maculosus
Ailuroedus astigmaticus,Ailuroedus astigmaticus,Ailuroedus melanotis,NA,Ailuroedus astigmaticus
Ailuroedus melanocephalus,Ailuroedus melanocephalus,Ailuroedus melanotis,NA,Ailuroedus melanocephalus
Ailuroedus jobiensis,Ailuroedus jobiensis,Ailuroedus melanotis,NA,Ailuroedus jobiensis
Ailuroedus arfakianus,Ailuroedus arfakianus,Ailuroedus melanotis,NA,Ailuroedus arfakianus
Sericulus ardens,Sericulus ardens,Sericulus aureus,Sericulus ardens,Sericulus ardens
Amytornis whitei,Amytornis whitei,Amytornis striatus,NA,Amytornis whitei
Amytornis rowleyi,Amytornis rowleyi,Amytornis striatus,NA,Amytornis rowleyi
Amytornis modestus,Amytornis modestus,Amytornis textilis,Amytornis modestus,Amytornis modestus
Chenorhamphus campbelli,Chenorhamphus campbelli,Malurus grayi,NA,Chenorhamphus campbelli
Malurus assimilis,Malurus assimilis,Malurus lamberti,Malurus assimilis,Malurus assimilis
Anthornis melanocephala,Anthornis melanocephala,Anthornis melanura,Anthornis melanocephala,Anthornis melanocephala
Territornis albilineata,Territornis albilineata,Meliphaga albilineata,Microptilotis albilineatus,Territornis albilineata
Microptilotis albonotatus,Microptilotis albonotatus,Meliphaga montana,Microptilotis albonotatus,Microptilotis albonotatus
Microptilotis analogus,Microptilotis analogus,Meliphaga mimikae,Microptilotis analogus,Microptilotis analogus
Microptilotis gracilis,Microptilotis gracilis,Meliphaga analoga,Microptilotis gracilis,Microptilotis gracilis
Microptilotis imitatrix,Microptilotis imitatrix,Meliphaga gracilis,Microptilotis imitatrix,Microptilotis imitatrix
Microptilotis cinereifrons,Microptilotis cinereifrons,Meliphaga analoga,Microptilotis cinereifrons,Microptilotis cinereifrons
Ptilotula fusca,Ptilotula fusca,Lichenostomus flavescens,Ptilotula fusca,Ptilotula fusca
Melipotes carolae,Melipotes carolae,NA,Melipotes carolae,Melipotes carolae
Myzomela prawiradilagae,Myzomela prawiradilagae,NA,Myzomela prawiradilagae,Myzomela prawiradilagae
Myzomela irianawidodoae,Myzomela irianawidodoae,Myzomela dammermani,NA,Myzomela irianawidodoae
Myzomela wahe,Myzomela wahe,NA,NA,Myzomela wahe
Myzomela nigriventris,Myzomela nigriventris,Myzomela cardinalis,NA,NA
Melithreptus chloropsis,Melithreptus chloropsis,Melithreptus lunatus,Melithreptus chloropsis,Melithreptus chloropsis
Gymnomyza brunneirostris,Gymnomyza brunneirostris,Gymnomyza viridis,Gymnomyza brunneirostris,Gymnomyza brunneirostris
Foulehaio procerior,Foulehaio procerior,Foulehaio carunculatus,Foulehaio procerior,Foulehaio procerior
Foulehaio taviunensis,Foulehaio taviunensis,Foulehaio carunculatus,Foulehaio taviunensis,Foulehaio taviunensis
Philemon plumigenis,Philemon plumigenis,Philemon moluccensis,Philemon plumigenis,Philemon plumigenis
Calamanthus montanellus,Calamanthus montanellus,Calamanthus campestris,Calamanthus montanellus,Calamanthus montanellus
Gerygone insularis,Gerygone insularis,Gerygone fusca,Gerygone insularis,Gerygone insularis
Cinclosoma clarum,Cinclosoma clarum,Cinclosoma castanotum,NA,Cinclosoma clarum
Cinclosoma marginatum,Cinclosoma marginatum,Cinclosoma castaneothorax,Cinclosoma marginatum,Cinclosoma marginatum
Cinclosoma alisteri,Cinclosoma alisteri,Cinclosoma cinnamomeum,Cinclosoma alisteri,Cinclosoma alisteri
Ptilorrhoa geislerorum,Ptilorrhoa geislerorum,Ptilorrhoa caerulescens,Ptilorrhoa geislerorum,Ptilorrhoa geislerorum
Pericrocotus albifrons,Pericrocotus albifrons,Pericrocotus erythropygius,Pericrocotus albifrons,Pericrocotus albifrons
Pericrocotus speciosus,Pericrocotus speciosus,Pericrocotus flammeus,NA,Pericrocotus speciosus
Coracina cucullata,Coracina cucullata,Coracina cinerea,Ceblepyris cucullatus,Ceblepyris cucullatus
Coracina welchmani,Coracina welchmani,Coracina caledonica,Coracina welchmani,Coracina welchmani
Coracina ingens,Coracina ingens,Coracina papuensis,NA,Coracina ingens
Coracina dobsoni,Coracina dobsoni,Coracina striata,Coracina dobsoni,Coracina dobsoni
Lobotos oriolinus,Lobotos oriolinus,Campephaga lobata,Lobotos oriolinus,Lobotos oriolinus
Lalage conjuncta,Lalage conjuncta,Lalage leucomela,Lalage conjuncta,Lalage conjuncta
Lalage melaschistos,Lalage melaschistos,Coracina papuensis,Lalage melaschistos,Lalage melaschistos
Lalage polioptera,Lalage polioptera,Coracina polioptera,Lalage polioptera,Lalage polioptera
Edolisoma ceramense,Edolisoma ceramense,Coracina morio,Edolisoma ceramense,Edolisoma ceramense
Edolisoma dispar,Edolisoma dispar,Coracina personata,Edolisoma dispar,Edolisoma dispar
Edolisoma salomonis,Edolisoma salomonis,Coracina tenuirostris,Edolisoma salomonis,Edolisoma salomonis
Edolisoma incertum,Edolisoma incertum,Coracina mindanensis,Edolisoma incertum,Edolisoma incertum
Edolisoma morio,Edolisoma morio,Coracina schistacea,Edolisoma morio,Edolisoma morio
Edolisoma sula,Edolisoma sula,Coracina schistacea,Edolisoma sula,Edolisoma sula
Edolisoma tenuirostre,Edolisoma tenuirostre,Coracina tenuirostris,Edolisoma tenuirostre,Edolisoma tenuirostre
Daphoenositta papuensis,Daphoenositta papuensis,Daphoenositta chrysoptera,Daphoenositta papuensis,Daphoenositta papuensis
Pteruthius aeralatus,Pteruthius ripleyi,NA,NA,NA
Pteruthius aeralatus,Pteruthius aeralatus,Pteruthius flaviscapis,Pteruthius aeralatus,Pteruthius aeralatus
Pteruthius aeralatus,Pteruthius annamensis,Pteruthius flaviscapis,NA,NA
Pteruthius intermedius,Pteruthius intermedius,Pteruthius aenobarbus,NA,Pteruthius intermedius
Pachysylvia hypoxantha,Pachysylvia hypoxantha,Hylophilus brunneiceps,Pachysylvia hypoxantha,Pachysylvia hypoxantha
Vireo chivi,Vireo chivi,Vireo olivaceus,Vireo chivi,Vireo chivi
Colluricincla fortis,Colluricincla fortis,Colluricincla megarhyncha,NA,Colluricincla fortis
Colluricincla affinis,Colluricincla affinis,Colluricincla megarhyncha,NA,Colluricincla affinis
Colluricincla obscura,Colluricincla obscura,Colluricincla megarhyncha,NA,Colluricincla obscura
Colluricincla tappenbecki,Colluricincla tappenbecki,Colluricincla megarhyncha,NA,Colluricincla tappenbecki
Colluricincla discolor,Colluricincla discolor,Colluricincla megarhyncha,NA,Colluricincla discolor
Colluricincla rufogaster,Colluricincla rufogaster,Colluricincla megarhyncha,NA,Colluricincla rufogaster
Coracornis sanghirensis,Coracornis sanghirensis,Dendrocincla tyrannina,Coracornis sanghirensis,Coracornis sanghirensis
Pachycephala chlorura,Pachycephala chlorura,Pachycephala pectoralis,NA,Pachycephala chlorura
Pachycephala vitiensis,Pachycephala vitiensis,Pachycephala pectoralis,Pachycephala vitiensis,Pachycephala vitiensis
Pachycephala richardsi,Pachycephala richardsi,Pachycephala implicata,Pachycephala richardsi,Pachycephala richardsi
Pachycephala citreogaster,Pachycephala citreogaster,Pachycephala pectoralis,NA,Pachycephala citreogaster
Pachycephala collaris,Pachycephala collaris,Pachycephala pectoralis,NA,Pachycephala collaris
Pachycephala vanikorensis,Pachycephala vanikorensis,Pachycephala pectoralis,NA,Pachycephala vanikorensis
Pachycephala orioloides,Pachycephala orioloides,Pachycephala pectoralis,Pachycephala orioloides,Pachycephala orioloides
Pachycephala feminina,Pachycephala feminina,Pachycephala pectoralis,Pachycephala feminina,Pachycephala feminina
Pachycephala fulvotincta,Pachycephala fulvotincta,Pachycephala pectoralis,Pachycephala fulvotincta,Pachycephala fulvotincta
Pachycephala macrorhyncha,Pachycephala macrorhyncha,Pachycephala pectoralis,NA,Pachycephala macrorhyncha
Pachycephala mentalis,Pachycephala mentalis,Pachycephala pectoralis,Pachycephala mentalis,Pachycephala mentalis
Pachycephala balim,Pachycephala balim,Pachycephala pectoralis,NA,Pachycephala balim
Pachycephala fuliginosa,Pachycephala fuliginosa,Pachycephala pectoralis,NA,Pachycephala fuliginosa
Pachycephala tenebrosa,Pachycephala tenebrosa,Colluricincla umbrina,Pachycephala tenebrosa,Pachycephala tenebrosa
Pachycephala melanorhyncha,Pachycephala melanorhyncha,Colluricincla megarhyncha,NA,Pachycephala melanorhyncha
Pitohui cerviniventris,Pitohui cerviniventris,Pitohui kirhocephalus,Pitohui cerviniventris,Pitohui cerviniventris
Pitohui uropygialis,Pitohui uropygialis,Pitohui kirhocephalus,Pitohui uropygialis,Pitohui uropygialis
Oriolus decipiens,Oriolus decipiens,Oriolus bouroensis,Oriolus decipiens,Oriolus decipiens
Oriolus kundoo,Oriolus kundoo,Oriolus oriolus,Oriolus kundoo,Oriolus kundoo
Cracticus argenteus,Cracticus argenteus,Cracticus torquatus,Cracticus argenteus,Cracticus argenteus
Platysteira hormophora,Platysteira hormophora,Platysteira castanea,Dyaphorophyia hormophora,Platysteira hormophora
Batis erlangeri,Batis erlangeri,Batis minor,Batis erlangeri,Batis erlangeri
Tephrodornis virgatus,Tephrodornis virgatus,Tephrodornis gularis,Tephrodornis virgatus,Tephrodornis virgatus
Tephrodornis affinis,Tephrodornis affinis,Tephrodornis pondicerianus,Tephrodornis affinis,Tephrodornis affinis
Laniarius nigerrimus,Laniarius nigerrimus,Laniarius aethiopicus,Laniarius nigerrimus,Laniarius nigerrimus
Laniarius major,Laniarius major,Laniarius aethiopicus,NA,Laniarius major
Laniarius sublacteus,Laniarius sublacteus,Laniarius aethiopicus,Laniarius sublacteus,Laniarius sublacteus
Laniarius willardi,Laniarius willardi,Laniarius poensis,NA,Laniarius willardi
Laniarius holomelas,Laniarius holomelas,Laniarius fuelleborni,Laniarius holomelas,Laniarius holomelas
Lamprolia klinesmithi,Lamprolia klinesmithi,Lamprolia victoriae,Lamprolia klinesmithi,Lamprolia klinesmithi
Rhipidura samarensis,Rhipidura samarensis,Rhipidura superciliaris,Rhipidura samarensis,Rhipidura samarensis
Rhipidura sauli,Rhipidura sauli,Rhipidura cyaniceps,Rhipidura sauli,Rhipidura sauli
Rhipidura albiventris,Rhipidura albiventris,Rhipidura cyaniceps,Rhipidura albiventris,Rhipidura albiventris
Rhipidura nigritorquis,Rhipidura nigritorquis,Rhipidura javanica,Rhipidura nigritorquis,Rhipidura nigritorquis
Rhipidura albogularis,Rhipidura albogularis,Rhipidura albicollis,Rhipidura albogularis,Rhipidura albogularis
Rhipidura habibiei,Rhipidura habibiei,NA,NA,Rhipidura habibiei
Rhipidura sulaensis,Rhipidura sulaensis,Rhipidura teysmanni,NA,Rhipidura sulaensis
Rhipidura dryas,Rhipidura dryas,Rhipidura rufifrons,Rhipidura dryas,Rhipidura dryas
Rhipidura albiscapa,Rhipidura albiscapa,Rhipidura fuliginosa,Rhipidura albiscapa,Rhipidura albiscapa
Dicrurus occidentalis,Dicrurus occidentalis,NA,NA,Dicrurus occidentalis
Dicrurus sharpei,Dicrurus sharpei,Dicrurus ludwigii,NA,Dicrurus sharpei
Dicrurus divaricatus,Dicrurus divaricatus,Dicrurus adsimilis,NA,Dicrurus divaricatus
Dicrurus atactus,Dicrurus atactus,Dicrurus adsimilis,NA,Dicrurus atactus
Dicrurus menagei,Dicrurus menagei,Dicrurus hottentottus,Dicrurus menagei,Dicrurus menagei
Dicrurus lophorinus,Dicrurus lophorinus,Dicrurus paradiseus,Dicrurus lophorinus,Dicrurus lophorinus
Parotia berlepschi,Parotia berlepschi,Parotia carolae,Parotia berlepschi,Parotia berlepschi
Lophorina niedda,Lophorina niedda,Lophorina superba,NA,Lophorina niedda
Lophorina minor,Lophorina minor,Lophorina superba,Lophorina minor,Lophorina minor
Hypothymis puella,Hypothymis puella,Hypothymis azurea,Hypothymis puella,Hypothymis puella
Terpsiphone incei,Terpsiphone incei,Terpsiphone paradisi,Terpsiphone incei,Terpsiphone incei
Terpsiphone affinis,Terpsiphone affinis,Terpsiphone paradisi,Terpsiphone affinis,Terpsiphone affinis
Terpsiphone batesi,Terpsiphone batesi,Terpsiphone rufocinerea,Terpsiphone batesi,Terpsiphone batesi
Chasiempis sclateri,Chasiempis sclateri,Chasiempis sandwichensis,Chasiempis sclateri,Chasiempis sclateri
Chasiempis ibidis,Chasiempis ibidis,Chasiempis sandwichensis,Chasiempis ibidis,Chasiempis ibidis
Pomarea pomarea,Pomarea pomarea,Pomarea nigra,Pomarea pomarea,Pomarea maupitiensis
Pomarea fluxa,Pomarea fluxa,Pomarea iphis,Pomarea fluxa,Pomarea fluxa
Pomarea nukuhivae,Pomarea nukuhivae,Pomarea mendozae,Pomarea nukuhivae,Pomarea nukuhivae
Pomarea mira,Pomarea mira,Pomarea mendozae,Pomarea mira,Pomarea mira
Carterornis castus,Carterornis castus,Monarcha pileatus,Carterornis castus,Carterornis castus
Carterornis leucotis,Carterornis leucotis,Monarcha pileatus,Carterornis leucotis,Carterornis leucotis
Symposiachrus trivirgatus,Symposiachrus trivirgatus,Monarcha trivirgatus,Symposiachrus trivirgatus,Symposiachrus trivirgatus
Symposiachrus leucurus,Symposiachrus leucurus,Monarcha everetti,Symposiachrus leucurus,Symposiachrus leucurus
Symposiachrus manadensis,Symposiachrus manadensis,Monarcha everetti,Symposiachrus manadensis,Symposiachrus manadensis
Arses lorealis,Arses lorealis,Arses telescophthalmus,Arses lorealis,Arses lorealis
Myiagra freycineti,Myiagra freycineti,Myiagra oceanica,Myiagra freycineti,Myiagra freycineti
Myiagra castaneigularis,Myiagra castaneigularis,Myiagra azureocapilla,Myiagra castaneigularis,Myiagra castaneigularis
Myiagra nana,Myiagra nana,Myiagra inquieta,Myiagra nana,Myiagra nana
Lanius phoenicuroides,Lanius phoenicuroides,Lanius collurio,Lanius phoenicuroides,Lanius phoenicuroides
Lanius borealis,Lanius borealis,Lanius excubitor,Lanius borealis,Lanius borealis
Lanius giganteus,Lanius giganteus,Lanius sphenocercus,Lanius giganteus,Lanius giganteus
Lanius humeralis,Lanius humeralis,Lanius collaris,NA,Lanius humeralis
Aphelocoma woodhouseii,Aphelocoma woodhouseii,Aphelocoma californica,NA,Aphelocoma woodhouseii
Aphelocoma ultramarina,Aphelocoma ultramarina,Aphelocoma wollweberi,Aphelocoma ultramarina,Aphelocoma ultramarina
Cyanopica cooki,Cyanopica cooki,Cyanopica cyanus,Cyanopica cooki,Cyanopica cooki
Cissa jefferyi,Cissa jefferyi,Cissa thalassina,Cissa jefferyi,Cissa jefferyi
Dendrocitta cinerascens,Dendrocitta cinerascens,Dendrocitta occipitalis,Dendrocitta cinerascens,Dendrocitta cinerascens
Pica mauritanica,Pica mauritanica,Pica pica,Pica mauritanica,Pica mauritanica
Pica asirensis,Pica asirensis,Pica pica,Pica asirensis,Pica asirensis
Pica bottanensis,Pica bottanensis,Pica pica,NA,Pica bottanensis
Pica serica,Pica serica,Pica pica,NA,Pica serica
Nucifraga multipunctata,Nucifraga multipunctata,Nucifraga caryocatactes,Nucifraga multipunctata,Nucifraga multipunctata
Corvus violaceus,Corvus violaceus,Corvus enca,Corvus violaceus,Corvus violaceus
Corvus cornix,Corvus cornix,Corvus corone,NA,Corvus cornix
Corvus insularis,Corvus insularis,Corvus orru,Corvus insularis,Corvus insularis
Melanocharis citreola,Melanocharis citreola,NA,Melanocharis citreola,Melanocharis citreola
Callaeas wilsoni,Callaeas wilsoni,Callaeas cinereus,Callaeas wilsoni,Callaeas wilsoni
Philesturnus rufusater,Philesturnus rufusater,Philesturnus carunculatus,Philesturnus rufusater,Philesturnus rufusater
Petroica longipes,Petroica longipes,Petroica australis,Petroica longipes,Petroica longipes
Petroica boodang,Petroica boodang,Petroica multicolor,Petroica boodang,Petroica boodang
Petroica pusilla,Petroica pusilla,Petroica multicolor,Petroica pusilla,Petroica pusilla
Heteromyias cinereifrons,Heteromyias cinereifrons,Heteromyias albispecularis,Heteromyias cinereifrons,Heteromyias cinereifrons
Drymodes beccarii,Drymodes beccarii,Drymodes superciliaris,Drymodes beccarii,Drymodes beccarii
Periparus ater,Periparus ater,Parus rubidiventris,Periparus ater,Periparus ater
Periparus rubidiventris,Periparus rubidiventris,Parus rufonuchalis,Periparus rubidiventris,Periparus rubidiventris
Sittiparus olivaceus,Sittiparus olivaceus,Parus varius,Sittiparus olivaceus,Sittiparus olivaceus
Sittiparus varius,Sittiparus varius,Parus varius,Sittiparus varius,Sittiparus varius
Sittiparus owstoni,Sittiparus owstoni,Parus varius,Sittiparus owstoni,Sittiparus owstoni
Poecile hyrcanus,Poecile hyrcanus,Parus lugubris,Poecile hyrcanus,Poecile hyrcanus
Poecile hypermelaenus,Poecile hypermelaenus,Parus palustris,Poecile hypermelaenus,Poecile hypermelaenus
Poecile weigoldicus,Poecile weigoldicus,Parus montanus,Poecile weigoldicus,Poecile weigoldicus
Poecile hudsonicus,Poecile hudsonicus,Parus cinctus,Poecile hudsonicus,Poecile hudsonicus
Cyanistes teneriffae,Cyanistes teneriffae,Parus caeruleus,Cyanistes teneriffae,Cyanistes teneriffae
Parus cinereus,Parus cinereus,Parus cinerascens,NA,Parus cinereus
Parus minor,Parus minor,Parus major,NA,Parus minor
Machlolophus aplonotus,Machlolophus aplonotus,Parus xanthogenys,NA,Machlolophus aplonotus
Machlolophus spilonotus,Machlolophus spilonotus,Parus spilonotus,Machlolophus spilonotus,Machlolophus spilonotus
Melaniparus leucomelas,Melaniparus leucomelas,Parus leucomelas,Melaniparus leucomelas,Melaniparus leucomelas
Melaniparus niger,Melaniparus niger,Parus leucomelas,Melaniparus niger,Melaniparus niger
Melaniparus carpi,Melaniparus carpi,Parus leucomelas,Melaniparus carpi,Melaniparus carpi
Melaniparus afer,Melaniparus afer,Parus cinerascens,Melaniparus afer,Melaniparus afer
Chersomanes albofasciata,Chersomanes beesleyi,Chersomanes albofasciata,NA,NA
Certhilauda subcoronata,Certhilauda benguelensis,Certhilauda curvirostris,NA,NA
Certhilauda curvirostris,Certhilauda brevirostris,Certhilauda curvirostris,NA,NA
Calendulauda africanoides,Calendulauda alopex,Mirafra africanoides,NA,NA
Calendulauda erythrochlamys,Calendulauda barlowi,Certhilauda erythrochlamys,NA,NA
Calendulauda erythrochlamys,Calendulauda erythrochlamys,Certhilauda erythrochlamys,Calendulauda erythrochlamys,Calendulauda erythrochlamys
Mirafra fasciolata,Mirafra fasciolata,Mirafra apiata,Mirafra fasciolata,Mirafra fasciolata
Calandrella blanfordi,Calandrella blanfordi,Calandrella brachydactyla,Calandrella blanfordi,Calandrella blanfordi
Calandrella eremica,Calandrella eremica,Calandrella brachydactyla,Calandrella eremica,Calandrella eremica
Calandrella dukhunensis,Calandrella dukhunensis,Calandrella brachydactyla,Calandrella dukhunensis,Calandrella dukhunensis
Eremalauda eremodites,Eremalauda eremodites,Eremalauda dunni,Eremalauda eremodites,Eremalauda eremodites
Alaudala cheleensis,Alaudala cheleensis,Calandrella rufescens,Alaudala cheleensis,Alaudala cheleensis
Alaudala rufescens,Alaudala rufescens,Calandrella rufescens,Alaudala rufescens,Alaudala rufescens
Alaudala heinei,Alaudala heinei,Calandrella rufescens,Alaudala heinei,Alaudala heinei
Galerida cristata,Galerida macrorhyncha,Galerida cristata,NA,NA
Calamonastes undosus,Calamonastes undosus,Camaroptera brachyura,Calamonastes undosus,Calamonastes undosus
Calamonastes stierlingi,Calamonastes stierlingi,Camaroptera brachyura,Calamonastes stierlingi,Calamonastes stierlingi
Calamonastes simplex,Calamonastes simplex,Camaroptera brachyura,Calamonastes simplex,Calamonastes simplex
Camaroptera harterti,Camaroptera harterti,Camaroptera brachyura,Camaroptera harterti,Camaroptera harterti
Apalis kaboboensis,Apalis kaboboensis,Apalis porphyrolaema,Apalis kaboboensis,Apalis kaboboensis
Orthotomus chaktomuk,Orthotomus chaktomuk,NA,Orthotomus chaktomuk,Orthotomus chaktomuk
Orthotomus chloronotus,Orthotomus chloronotus,Orthotomus atrogularis,Orthotomus chloronotus,Orthotomus chloronotus
Prinia striata,Prinia striata,Prinia crinigera,NA,Prinia striata
Prinia cooki,Prinia cooki,Prinia polychroa,NA,Prinia cooki
Prinia rocki,Prinia rocki,Prinia polychroa,NA,Prinia rocki
Prinia superciliaris,Prinia superciliaris,Prinia atrogularis,Prinia superciliaris,Prinia superciliaris
Prinia lepida,Prinia lepida,Prinia gracilis,NA,Prinia lepida
Prinia rufifrons,Prinia rufifrons,Prinia buchanani,Prinia rufifrons,Prinia rufifrons
Cisticola bakerorum,Cisticola bakerorum,NA,Cisticola bakerorum,Cisticola bakerorum
Cisticola haematocephalus,Cisticola haematocephalus,Cisticola galactotes,Cisticola haematocephalus,Cisticola haematocephalus
Cisticola anderseni,Cisticola anderseni,NA,Cisticola anderseni,Cisticola anderseni
Cisticola luapula,Cisticola luapula,Cisticola galactotes,Cisticola luapula,Cisticola luapula
Cisticola lugubris,Cisticola lugubris,Cisticola galactotes,Cisticola lugubris,Cisticola lugubris
Cisticola marginatus,Cisticola marginatus,Cisticola galactotes,Cisticola marginatus,Cisticola marginatus
Cisticola cinnamomeus,Cisticola cinnamomeus,Cisticola brunnescens,Cisticola cinnamomeus,Cisticola cinnamomeus
Iduna rama,Iduna rama,Hippolais caligata,Iduna rama,Iduna rama
Iduna pallida,Iduna pallida,Acrocephalus dumetorum,Iduna pallida,Iduna pallida
Iduna opaca,Iduna opaca,Hippolais pallida,Iduna opaca,Iduna opaca
Iduna natalensis,Iduna natalensis,Hippolais icterina,Iduna natalensis,Iduna natalensis
Iduna similis,Iduna similis,Chloropeta natalensis,Iduna similis,Iduna similis
Acrocephalus orientalis,Acrocephalus orientalis,Acrocephalus arundinaceus,Acrocephalus orientalis,Acrocephalus orientalis
Acrocephalus hiwae,Acrocephalus hiwae,Acrocephalus luscinius,Acrocephalus hiwae,Acrocephalus hiwae
Acrocephalus nijoi,Acrocephalus nijoi,Acrocephalus luscinius,Acrocephalus nijoi,Acrocephalus nijoi
Acrocephalus yamashinae,Acrocephalus yamashinae,Acrocephalus luscinius,Acrocephalus yamashinae,Acrocephalus yamashinae
Acrocephalus rimitarae,Acrocephalus rimitarae,Acrocephalus kerearako,Acrocephalus rimitarae,Acrocephalus rimitarae
Acrocephalus musae,Acrocephalus musae,Acrocephalus caffer,Acrocephalus musae,Acrocephalus musae
Acrocephalus longirostris,Acrocephalus longirostris,Acrocephalus caffer,Acrocephalus longirostris,Acrocephalus longirostris
Acrocephalus percernis,Acrocephalus percernis,Acrocephalus caffer,Acrocephalus percernis,Acrocephalus percernis
Acrocephalus astrolabii,Acrocephalus astrolabii,Acrocephalus luscinius,Acrocephalus astrolabii,Acrocephalus astrolabii
Robsonius thompsoni,Robsonius thompsoni,Robsonius rabori,Robsonius thompsoni,Robsonius thompsoni
Helopsaltes amnicola,Helopsaltes amnicola,Locustella fasciolata,Helopsaltes amnicola,Helopsaltes amnicola
Helopsaltes ochotensis,Helopsaltes ochotensis,Locustella certhiola,Helopsaltes ochotensis,Helopsaltes ochotensis
Helopsaltes pleskei,Helopsaltes pleskei,Locustella certhiola,Helopsaltes pleskei,Helopsaltes pleskei
Locustella castanea,Locustella castanea,Bradypterus castaneus,Locustella castanea,Locustella castanea
Locustella musculus,Locustella musculus,Bradypterus castaneus,Locustella musculus,Locustella musculus
Locustella portenta,Locustella portenta,NA,Locustella portenta,Locustella portenta
